type,sourcename,targetname,targetentitytype
System.Guid,new_countryid,new_countryid,new_country
System.Guid,new_stateprovinceid,new_stateprovinceid,new_stateprovince
System.Guid,new_cityid,new_cityid,new_city
System.String,New_ARArea,new_ararea,
System.String,New_Area,new_area,
System.String,New_ARStreet,new_arstreet,
System.String,New_Street,new_street,
System.String,New_ARBldg,new_arbldg,
System.String,New_Bldg,new_bldg,
System.String,New_ARBlock,new_arblock,
System.String,New_Block,new_block,
System.String,New_ARFloor,new_arfloor,
System.String,New_Floor,new_floor,
System.String,New_ARCountry,new_arcountry,
System.String,New_ARStateProvince,new_arstateprovince,
System.String,New_ZipCode,new_zipcode,
System.String,New_ARZipCode,new_arzipcode,
System.String,New_DisplayZipCity,new_displayzipcity,
System.String,New_ARDisplayZipCity,new_ardisplayzipcity,
System.String,New_POBox,new_pobox,
System.String,New_ARPOBox,new_arpobox,
System.String,New_Office,new_office,
System.String,New_ArOffice,new_aroffice,
System.String,New_ARApartment,new_arapartment,
System.String,New_Apartment,new_apartment,
System.Int32,New_AddFax1CountryCode,new_addfax1countrycode,
System.Int32,New_AddFax2CountryCode,new_addfax2countrycode,
System.String,New_LandmarkNote,new_landmarknote,
System.String,New_ARLandmarkNote,new_arlandmarknote,
System.String,New_EnAddressDetails,new_enaddressdetails,
System.String,New_ArAddressDetails,new_araddressdetails,
System.Boolean,New_AddressType,new_addresstype,
System.Boolean,New_UsedforSubscription,new_usedforsubscription,
System.Int32,New_ARDistributionLine,new_ardistributionline,OptionSet
System.String,New_button_GenerateEnglishLabel,new_button_generateenglishlabel,
System.String,New_button_GenerateArabicLabels,new_button_generatearabiclabels,
System.String,New_button_GenerateAddressEN,new_button_generateaddressen,
System.String,New_button_GenerateAddressAR,new_button_generateaddressar,
System.String,New_EnglishLabel,new_englishlabel,
System.String,New_ArabicLabel,new_arabiclabel,
System.Int32,New_CountryCode,new_countrycode,
System.Int32,New_CountryCode_Old,new_countrycode_old,
System.String,New_Phone1Number,new_phone1number,
System.String,New_Phone1Ext,new_phone1ext,
System.Int32,New_DistributionLine,new_distributionline,OptionSet
System.Boolean,New_Phone1_Main,new_phone1_main,
System.String,New_Phone1,new_phone1,
System.String,New_Phone2Number,new_phone2number,
System.String,New_Phone2Ext,new_phone2ext,
System.Int32,New_MainFax1CountryCode,new_mainfax1countrycode,
System.Boolean,New_Phone2_Main,new_phone2_main,
System.String,New_Phone2,new_phone2,
System.String,New_Phone3Number,new_phone3number,
System.String,New_Phone3Ext,new_phone3ext,
System.Int32,New_MainFax2CountryCode,new_mainfax2countrycode,
System.Boolean,New_Phone3_Main,new_phone3_main,
System.String,New_Phone3,new_phone3,
System.String,New_Mobile1Number,new_mobile1number,
System.Int32,New_Mobile1CountryCode,new_mobile1countrycode,
System.Boolean,New_Mobile1_Main,new_mobile1_main,
System.String,New_Mobile1,new_mobile1,
System.String,New_Mobile2Number,new_mobile2number,
System.Int32,New_Mobile2CountryCode,new_mobile2countrycode,
System.Boolean,New_Mobile2_Main,new_mobile2_main,
System.String,New_Mobile2,new_mobile2,
System.Boolean,New_Email1_Main,new_email1_main,
System.String,New_Email1,new_email1,
System.Boolean,New_Email2_Main,new_email2_main,
System.String,New_Email2,new_email2,
System.String,New_MainFax1Number,new_mainfax1number,
System.String,New_MainFax1Ext,new_mainfax1ext,
System.Int32,New_OfficeType,new_officetype,OptionSet
System.Boolean,New_MainFax1_Main,new_mainfax1_main,
System.String,New_MainFax1,new_mainfax1,
System.String,New_MainFax2Number,new_mainfax2number,
System.String,New_MainFax2Ext,new_mainfax2ext,
System.Int32,New_Phone1CountryCode,new_phone1countrycode,
System.Boolean,New_MainFax2_Main,new_mainfax2_main,
System.String,New_MainFax2,new_mainfax2,
System.String,New_AddFax2Number,new_addfax2number,
System.String,New_AddFax2Ext,new_addfax2ext,
System.Int32,New_Phone2CountryCode,new_phone2countrycode,
System.Boolean,New_AddFax2_Main,new_addfax2_main,
System.String,New_AddFax2,new_addfax2,
System.String,New_AddFax1Number,new_addfax1number,
System.String,New_AddFax1Ext,new_addfax1ext,
System.Int32,New_Phone3CountryCode,new_phone3countrycode,
System.Boolean,New_AddFax1_Main,new_addfax1_main,
System.String,New_AddFax1,new_addfax1,
System.String,New_TeleFaxNumber3,new_telefaxnumber3,
System.String,New_TeleFaxNumber2,new_telefaxnumber2,
System.String,New_TeleFaxNumber,new_telefaxnumber,
System.Int32,New_PreferredLabelLanguage,new_preferredlabellanguage,OptionSet
System.Int32,New_TeleFaxCountryCode,new_telefaxcountrycode,
System.Int32,New_TeleFaxCountryCode2,new_telefaxcountrycode2,
System.Boolean,New_Telefax3_Main,new_telefax3_main,
System.String,New_TeleFax3,new_telefax3,
System.Boolean,New_Telefax2_Main,new_telefax2_main,
System.String,New_TeleFax2,new_telefax2,
System.Boolean,New_Telefax1_Main,new_telefax1_main,
System.String,New_TeleFax,new_telefax,
System.String,New_Notes,new_notes,
System.String,New_name,new_name,
System.String,New_SDMUchecked,new_sdmuchecked,
System.Guid,new_contactid,new_contactid,contact
System.Guid,new_accountid,new_accountid,account
System.Int32,New_TeleFaxCountryCode3,new_telefaxcountrycode3,
System.Guid,new_accountid,new_customerid,account
System.Guid,new_contactid,new_customerid,contact
System.Int32,statecode,statecode,
System.Int33,statuscode,statuscode,
System.Guid,new_mainempaddressid,new_mainempaddressid,new_customerraddress
System.Guid,new_sourcereferralid,new_sourcereferralid,contact
System.Guid,new_sourceid,new_sourceid,new_infosource
