type,sourcename,targetname,targetentitytype
,isproductoverridden,isproductoverridden,
,productdescription,productdescription,
,productid,productid,
,new_width,new_width,
,new_length,new_length,
,new_standnumber,new_standnumber,
,new_totalspace,new_totalspace,
,new_optionalproduct,new_optionalproduct,
,new_requesteddiscount,new_requesteddiscount,
,quantity,quantity,
,new_requestednewpriceperunit,new_requestednewpriceperunit,
,new_reasonfordiscount,new_reasonfordiscount,
,ispriceoverridden,ispriceoverridden,
,new_pmdiscountapproval,new_pmdiscountapproval,
,priceperunit,priceperunit,
,new_pmapprovalcomments,new_pmapprovalcomments,
,new_newpriceperunit,new_newpriceperunit,
,new_gmdiscountapproval,new_gmdiscountapproval,
,baseamount,baseamount,
,new_gmapprovalcomments,new_gmapprovalcomments,
,manualdiscountamount,manualdiscountamount,
,new_coodiscountapproval,new_coodiscountapproval,
,extendedamount,extendedamount,
,new_cooapprovalcomments,new_cooapprovalcomments,
,new_pendingapproval,new_pendingapproval,
,new_approvallevel,new_approvallevel,
,volumediscountamount,volumediscountamount,
,tax,tax,
,opportunityid,opportunityid,
,new_rebatepercent,new_rebatepercent,
,new_pmbarterapproval,new_pmbarterapproval,
,new_barterinmeters,new_barterinmeters,
,new_reasonforbarter,new_reasonforbarter,
,new_pmbarterapprovalcomments,new_pmbarterapprovalcomments,
,new_gmbarterapproval,new_gmbarterapproval,
,new_gmbarterapprovalcomments,new_gmbarterapprovalcomments,
,new_coobarterapproval,new_coobarterapproval,
,new_coobarterapprovalcomments,new_coobarterapprovalcomments,
,new_barterapprovallevel,new_barterapprovallevel,
,new_cooapprovalreminder1,new_cooapprovalreminder1,
,new_cooapprovalreminder2,new_cooapprovalreminder2,
,new_coobarterreminder1,new_coobarterreminder1,
,new_coobarterreminder2,new_coobarterreminder2,
,new_cooapprovalhistoryreminder1,new_cooapprovalhistoryreminder1,
,new_cooapprovalhistoryreminder2,new_cooapprovalhistoryreminder2,
,new_coobarterhistoryreminder1,new_coobarterhistoryreminder1,
,new_coobarterhistoryreminder2,new_coobarterhistoryreminder2,
,new_gmapprovalreminder1,new_gmapprovalreminder1,
,new_gmapprovalreminder2,new_gmapprovalreminder2,
,new_gmbarterreminder1,new_gmbarterreminder1,
,new_gmbarterreminder2,new_gmbarterreminder2,
,new_gmapprovalhistoryreminder1,new_gmapprovalhistoryreminder1,
,new_gmapprovalhistoryreminder2,new_gmapprovalhistoryreminder2,
,new_gmbarterhistoryreminder1,new_gmbarterhistoryreminder1,
,new_gmbarterhistoryreminder2,new_gmbarterhistoryreminder2,
,new_pmapprovalreminder1,new_pmapprovalreminder1,
,new_pmapprovalreminder2,new_pmapprovalreminder2,
,new_pmbarterreminder1,new_pmbarterreminder1,
,new_pmbarterreminder2,new_pmbarterreminder2,
,new_pmapprovalhistoryreminder1,new_pmapprovalhistoryreminder1,
,new_pmapprovalhistoryreminder2,new_pmapprovalhistoryreminder2,
,new_pmbarterhistoryreminder1,new_pmbarterhistoryreminder1,
,new_pmbarterhistoryreminder2,new_pmbarterhistoryreminder2,
,uomid,uomid,
