type,sourcename,targetname,targetentitytype
,name,name,
,new_arabicname,new_arabicname,
,new_shortname,new_shortname,
,new_ministryoffinancenumber,new_ministryoffinancenumber,
,new_commercialregisternumber,new_commercialregisternumber,
,new_acm,new_acm,
,telephone1,telephone1,
,telephone2,telephone2,
,fax,fax,
,new_address1migrated,new_address1migrated,
,address1_postalcode,address1_postalcode,
,address1_postofficebox,address1_postofficebox,
,new_cityid,new_cityid,
,new_regionid,new_regionid,
,new_countryid,new_countryid,
,new_mobile,new_mobile,
,emailaddress1,emailaddress1,
