type,sourcename,targetname,targetentitytype
System.String,assistantname,assistantname,
System.String,assistantphone,assistantphone,
System.Boolean,donotbulkemail,donotbulkemail,
System.Boolean,donotemail,donotemail,
System.Boolean,donotfax,donotfax,
System.Boolean,donotphone,donotphone,
System.Boolean,donotpostalmail,donotpostalmail,
System.Boolean,donotsendmm,donotsendmm,
System.String,emailaddress1,emailaddress1,
System.String,emailaddress3,emailaddress3,
System.Int32,familystatuscode,familystatuscode,Optionset
System.String,fax,fax,
System.String,firstname,firstname,
System.String,fullname,fullname,
System.Int32,gendercode,gendercode,Optionset
System.String,jobtitle,jobtitle,
System.String,lastname,lastname,
System.DateTime,lastusedincampaign,lastusedincampaign,
System.String,middlename,middlename,
System.String,mobilephone,mobilephone,
System.String,new_accompanyingperson,new_accompanyingperson,
System.String,new_accompanyingpersonemail,new_accompanyingpersonemail,
System.String,new_accompanyingpersonmobile,new_accompanyingpersonmobile,
System.String,new_accompanyingpersonphone,new_accompanyingpersonphone,
System.String,new_arabicfirstname,new_arabicfirstname,
System.String,new_arabicfullname,new_arabicfullname,
System.String,new_arabiclastname,new_arabiclastname,
System.String,new_arabicmiddlename,new_arabicmiddlename,
System.String,new_arabicprefix,new_arabicprefix,
System.String,new_arabicsalutation,new_arabicsalutation,
System.String,new_arabicshortmiddlename,new_arabicshortmiddlename,
System.Boolean,new_assistant1,new_assistant1,
System.String,new_assistant1email,new_assistant1email,
System.String,new_assistant1fax,new_assistant1fax,
System.String,new_assistant1mobile,new_assistant1mobile,
System.Guid,new_assistant1nameid,new_assistant1nameid,contact
System.String,new_assistant1title,new_assistant1title,
System.Boolean,new_assistant2,new_assistant2,
System.String,new_assistant2arabicname,new_assistant2arabicname,
System.String,new_assistant2email,new_assistant2email,
System.String,new_assistant2fax,new_assistant2fax,
System.Int32,new_assistant2faxcountrycode,new_assistant2faxcountrycode,
System.String,new_assistant2faxext,new_assistant2faxext,
System.String,new_assistant2faxnumber,new_assistant2faxnumber,
System.String,new_assistant2mobile,new_assistant2mobile,
System.Int32,new_assistant2mobilecountrycode,new_assistant2mobilecountrycode,
System.String,new_assistant2mobilenumber,new_assistant2mobilenumber,
System.String,new_assistant2phone,new_assistant2phone,
System.Int32,new_assistant2phonecountrycode,new_assistant2phonecountrycode,
System.String,new_assistant2phoneext,new_assistant2phoneext,
System.String,new_assistant2phonenumber,new_assistant2phonenumber,
System.String,new_assistant2title,new_assistant2title,
System.Int32,new_basedincountrycode,new_basedincountrycode,
System.Int32,new_basedincountrycode_old,new_basedincountrycode_old,
System.Guid,new_basedinid,new_basedinid,new_country
System.Boolean,new_bestwayofcontact,new_bestwayofcontact,
System.String,new_boardmemberin,new_boardmemberin,
System.String,new_contactnumber,new_contactnumber,
System.Guid,new_country1id,new_country1id,new_country
System.Guid,new_country2id,new_country2id,new_country
System.Guid,new_country3id,new_country3id,new_country
System.Guid,new_country4id,new_country4id,new_country
System.String,new_directfax,new_directfax,
System.String,new_directfax_temp,new_directfax_temp,
System.String,new_directfax2,new_directfax2,
System.String,new_directfax2_temp,new_directfax2_temp,
System.Int32,new_directfaxcountrycode,new_directfaxcountrycode,
System.Int32,new_directfaxcountrycode_temp,new_directfaxcountrycode_temp,
System.Int32,new_directfaxcountrycode2,new_directfaxcountrycode2,
System.Int32,new_directfaxcountrycode2_temp,new_directfaxcountrycode2_temp,
System.String,new_directfaxext,new_directfaxext,
System.String,new_directfaxext_temp,new_directfaxext_temp,
System.String,new_directfaxext2,new_directfaxext2,
System.String,new_directfaxext2_temp,new_directfaxext2_temp,
System.String,new_directfaxnumber_temp,new_directfaxnumber_temp,
System.String,new_directfaxnumber2,new_directfaxnumber2,
System.String,new_directfaxnumber2_temp,new_directfaxnumber2_temp,
System.String,new_directmobile,new_directmobile,
System.String,new_directmobile_temp,new_directmobile_temp,
System.String,new_directmobile2,new_directmobile2,
System.String,new_directmobile2_temp,new_directmobile2_temp,
System.Int32,new_directmobilecountrycode,new_directmobilecountrycode,
System.Int32,new_directmobilecountrycode_temp,new_directmobilecountrycode_temp,
System.Int32,new_directmobilecountrycode2,new_directmobilecountrycode2,
System.Int32,new_directmobilecountrycode2_temp,new_directmobilecountrycode2_temp,
